Ref..,Items,Acceptable.Key.s,Notes,Domain,Construct,Subconstruct,Level,grade,example,type,title,alternative,SkillVariant,Skill
R1.3.1_E,How did Abdul feel after eating?,Happy ,"The information is found by synonymous word matching when the information required is not prominent and there is limited competing information, as his feelings changed throughout the text.",R,1,3,E,3,1,Story,The Mango,0,a,1
R2.2.1_P,Who was tired and hungry? ,Abdul ,The information is a simple inference drawn by using the pronoun “he” across consecutive sentences when there is no competing information (Abdul is the only character).,R,2,2,P,3,1,Story,The Mango,0,a,1
R1.2.1_E,What did the village chief tell Tadala?,That the woman was very thankful (for returning the bag),"The information is located by direct word matching, is not prominent (middle of the text), and there is limited competing information (football and box of oranges).",R,1,2,E,3,2,Story,Tadala's Deed,0,a,1
R1.2.1_M,Who owned the bag? ,A woman ,"The information required is adjacent to the matched word, but not in a prominent place, and there is limited competing information (Tadala, the village chief).",R,1,2,M,3,2,Story,Tadala's Deed,0,a,1
R1.2.1_P,What did Tadala find? ,A bag ,The information is in the prominent position of the first sentence and can be found by direct word matching. There is no competing information in the same location.,R,1,2,P,3,2,Story,Tadala's Deed,0,a,1
R2.1.1_M,"In, ""The woman who owned the bag was very thankful,"" what does ""thankful"" mean?",Refers to being grateful / appreciative / happy that something was done for you,"The student needs to identify the meaning of an unknown word from prominent, contextual clues (such as receiving gifts from the woman). (Note that “thankful” in English is likely to be an unknown word for Grade 3 students. This may not apply in other languages.)",R,2,1,M,3,2,Story,Tadala's Deed,0,a,1
R2.2.1_E,Why did Tadala receive gifts? ,For returning the woman’s lost bag ,The information is a simple inference that relates two pieces of explicit information from across one or more paragraphs when there is more distance or more competing information (such as “because he loves football”).,R,2,2,E,3,2,Story,Tadala's Deed,0,a,1
R2.2.1_M,Why did the village chief call Tadala to come speak with him?,To tell him the woman was thankful / to pass on the gifts from the woman,The information is a simple inference that relates two pieces of explicit information across consecutive sentences when there is limited competing information (the chief is talking but it is the woman who is thankful and giving gifts).,R,2,2,M,3,2,Story,Tadala's Deed,0,a,1
R2.3.1_M,What was Tadala’s deed? A. Receive gifts B. See the chief C. Play football D. Return a bag,D. return a bag    ,"The student needs to identify the general topic when it is prominent (repeated information about finding and returning the bag) but not explicitly stated, by linking it to the meaning of the story title.  ",R,2,3,M,3,2,Story,Tadala's Deed,0,a,1
R1.2.1_P,What did the fox see hanging over the fence?,Grapes ,The information appears in a prominent position in the first sentence and is a direct word match with no competing information.,R,1,2,P,3,3,Story,The Fox and the Grapes,0,a,1
R2.1.1_E,"“You were boasting and now you look silly,” said the donkey. What does “boasting” mean? A. Showing off B. Jumping C. Talking loudly D. Hungry",A. showing off      ,The student needs to identify the meaning of an unknown word from contextual clues when there are less prominent clues.     ,R,2,1,E,3,3,Story,The Fox and the Grapes,0,a,1
R2.2.1_E,Why was the donkey laughing?  ,Fox looked silly (jumping up and down to try to reach the grapes),The information is a simple inference that relates two pieces of explicit information from across one or more paragraphs when there is more distance or more competing information (jumping and laughing).,R,2,2,E,3,3,Story,The Fox and the Grapes,0,a,1
R2.2.1_M,Who wants the grapes?   Why did the fox jump up again and again? A. He liked jumping B. It was a good game C. To try to get the grapes D. The donkey surprised him,Grapes   C. To try to get the grapes    ,The information is a simple inference that relates two pieces of information from across consecutive sentences when there is limited competing information (fox and donkey). The information is a simple inference that relates two pieces of information from across consecutive sentences when there is limited competing information (such as “being strong”).  ,R,2,2,M,3,3,Story,The Fox and the Grapes,0,a,1
R2.2.1_P,What looked delicious? ,(The) grapes ,The information is a simple inference that uses a pronoun (they) reference across consecutive sentences and there is no competing information.,R,2,2,P,3,3,Story,The Fox and the Grapes,0,a,1
R1.2.1_E,Write two places where grass can grow.   ,Soil and cracks in rocks  ,"The information about the two places is separated by competing information across several sentences, but does appear adjacent to the information through direct word matching (grass grows in soil) and close word matching (it can grow in cracks of rocks).",R,1,2,E,3,4,Information (Description),Grass,0,a,1
R1.3.1_E,What is one of the things that the wind can bring into the crack of a rock? ,Soil/seeds/water/rain  ,The information for the key appears across the whole text in places that are not prominent and are separated by competing information (such as sun and grass). The information is found by synonymous word matching with “can bring” and “blows.”,R,1,3,E,3,4,Information (Description),Grass,0,a,1
R1.3.1_M,What is one way that soil can get into the crack in a rock?  How do grass seeds get into the crack of a rock?,Wind/rain   Wind ,"The information is prominently located towards the beginning of the text and is found by synonymous word matching with “get into” and “fills,” with no competing information. The information is prominently located towards the beginning of the text and is found by synonymous word matching with “get into” and “lands.”",R,1,3,M,3,4,Information (Description),Grass,0,a,1
R2.2.1_E,Why can grass grow in the cracks in rocks?  ,Because there is soil in the cracks ,"The key is dependent on understanding the causal connection between pieces of explicit information (how grass grows and why it can grow in cracks of rocks) from several sentences, with limited competing information (wind and sun).",R,2,2,E,3,4,Information (Description),Grass,0,a,1
R2.2.1_M,What makes grass grow fast?  ,Water and/or sun  ,"The information is a simple inference through a synonymous match with “fast” and “quickly.” The key is one of two possible pieces of prominent, explicit information and there is limited competing information (such as wind)",R,2,2,M,3,4,Information (Description),Grass,0,a,1
R2.3.1_M,What is this text mainly about? A. How grass grows B. Why grass is good C. Why rocks have cracks D. How the wind blows rain,A. How grass grows    ,The key refers to the general topic of the text when it is prominent but not explicitly stated.   ,R,2,3,M,3,4,Information (Description),Grass,0,a,1
R2.2.1_E,Why could it be bad to walk on the mountain track in winter?,You can slip over ,The information is a simple inference that relates explicit information from across one or more paragraphs when there is more distance (the tracks are both steep and slippery).,R,2,2,E,3,5,Information (Description),Aliyah,0,a,1
R2.2.1_M,Why does Aliyah only play sliding games in winter?  ,This is the only time the tracks have slippery ice ,"The information is a simple inference that relates the two pieces of explicit information from across consecutive sentences: “cold winter months” and “ice makes the tracks slippery.” There is limited competing information about the sheep being in the shed, so not needing to take them to the mountain meadows.",R,2,2,M,3,5,Information (Description),Aliyah,0,a,1
R1.2.1_M,In what season are the sheep led to the mountain meadows?,Summer ,"The information is adjacent to the direct word matching of “mountain meadows” and there is limited competing information, with the reference to “cold winter months” later in the text.",R,1,2,M,3,5,Information (Description),Aliyah,0,a,1
R1.3.1_M,Where do the sheep go in the colder months?,The shed ,The information is explicit and located by synonymous word matching (“go” and “stay”) when there is no competing information.,R,1,3,M,3,5,Information (Description),Aliyah,0,a,1
R2.1.1_M,Choose the picture that shows a steep mountain track. (a) [image of a flat clear track] (b) [image of a steep track] (c) [image of a flat track with lots of rocks] (d) [image of flat track covered with water],(b) [Image of a steep track]    ,The student needs to identify the meaning of an unknown word when there are prominent clues (“mountain” and “strong legs from walking up and down” provide contextual clues). (Note that “steep” in English is likely to be an unknown word for grade three students. This may not apply in other languages.)  ,R,2,1,M,3,5,Information (Description),Aliyah,0,a,1
R2.2.1_P,What happens to the mountain track in winter? ,Becomes icy and/or slippery ,The information is a simple inference that relates the two pieces of explicit information from across consecutive sentences: “cold winter months” and “ice makes the tracks slippery.” There is no competing information.,R,2,2,P,3,5,Information (Description),Aliyah,0,a,1
R1.2.1_M,Who fell to the bottom of the stairs?   ,Than   ,"The information is nearby to the matched words, as a pronoun link is required to identify that ‘he fell all the way to the bottom’ refers to Than mentioned at the start of the previous sentence. The limited competing information is that there are other characters in the text (Mum and Dad).",R,1,2,M,4,1,Story,The Accident,0,a,1
R1.2.1_P,What was Than walking down?  Where was Than when he slipped?  ,Stairs/steps  At home (stairs/steps also acceptable) ,The information is in the prominent position of the first sentence and can be found by direct word matching. There is no competing information in the same location. The information is in the prominent position of the first sentence and can be found by direct word matching. The answer ‘Home’ is adjacent to ‘when he slipped’. There is no competing information in the same location.,R,1,2,P,4,1,Story,The Accident,0,a,1
R1.3.1_M,Who came quickly to help Than? ,Mum ,The information is found by synonymous word matching (‘came quickly’ and ‘came running’) and there is limited competing information (Dad).,R,1,3,M,4,1,Story,The Accident,0,a,1
R1.3.1_P,What did Mum tell Dad to do? ,Ring the ambulance ,The information is in a prominent place because it is the only speech in the text and is found by synonymous word matching (‘tell Dad to do’ and ‘called to Dad’).,R,1,3,P,4,1,Story,The Accident,0,a,1
R2.2.1_M,Than fell down the stairs. Why did Mum want the ambulance to come?,Because Than had hurt his leg,The information is a simple inference across adjacent sentences and there is limited competing information (such as the word ‘blood’).,R,2,2,M,4,1,Story,The Accident,0,a,1
R2.2.2_M,Put these actions in order: · Dad told Than not to move · Mum came running · The ambulance was called · Than fell down the stairs  ,· Than fell down the stairs (1) · Mum came running (2) · The ambulance was called (3) · Dad told Than not to move (4),The sequential order of four actions within the text is identified. These actions are prominent as they constitute all of the main actions in a short text.     ,R,2,2,M,4,1,Story,The Accident,0,a,2
R2.2.2_P,What happened first? A. Dad told Than not to move B. Mum came running C. The ambulance was called D. Than fell down the stairs,D. Than fell down the stairs    ,The first action from a sequence within the text is identified when these are presented out of order in the task. These actions are prominent as they constitute all of the main actions in a short text.  ,R,2,2,P,4,1,Story,The Accident,0,a,2
R1.2.1_M,Who says it’s ok to be small?   ,Mum / Noga’s mother  ,"The words “it’s ok to be small” must be matched to the direct speech in the text and then a pronoun link must be made from “she” back to Noga’s mother. There is competing information in terms of matching words, as Noga does not think it is “ok to be small.” There are also two characters.",R,1,2,M,4,2,Story,Noga the Small Girl,0,a,1
R1.2.1_P,Who is the smallest girl in the class?  ,Noga  ,The information is in the prominent position of the first sentence and can be found by direct word matching of “smallest girl in her class.” The answer is adjacent. There is no competing information in the same location.,R,1,2,P,4,2,Story,Noga the Small Girl,0,a,1
R1.3.1_M,What is Noga doing when she hears a chirping sound?  ,Walking   ,The information is not prominent and requires synonymous word matching (walking and doing). There is also limited competing information with the other actions in the sentences that follow (such as crawling and picking up and gently placing the bird onto a branch).,R,1,3,M,4,2,Story,Noga the Small Girl,0,a,1
R2.1.1_P,“The bird chirps happily.” What is another word for “chirps”?,Sings / tweets / any kind of bird noise,"The word “chirps” is likely to be an unfamiliar word at this level. There are prominent clues that this is a sound that a bird makes, as Noga hears the bird chirping.",R,2,1,P,4,2,Story,Noga the Small Girl,0,a,1
R2.2.1_E,"Why does Noga smile all the way home? A. Because she is going home B. Because she heard the bird chirping C. Because she realizes it can help to be small D. Because she knows she will grow taller one day “How lucky that I was walking past, and not some big kid.” Why is it lucky that a big kid did not walk past?",C. Because she realizes it can help to be small     Because they would not have been able to fit in the hole to rescue the bird,"Understanding why Noga is smiling at the end of the story requires recognizing the implied links across much of the story between Noga being able to help the baby bird because she is small. There is strongly competing information, as at the start of the story Noga did not like being small.    The information is a simple inference that is reached by evidence that appears across the text (being small, being able to fit in the hole, helping the bird) and the competing information is in the understanding that a big kid would not fit in the hole or be able to help the bird.",R,2,2,E,4,2,Story,Noga the Small Girl,0,a,1
R2.2.1_M,Why does Noga pick up the baby bird? A. To protect the bird B. To rescue the bird C. Because she likes birds D. Because it was chirping,B. To rescue the bird   ,"The implication is that Noga is helping the bird, so the connection needs to be made between the action of Noga hearing the chirping, and taking the baby bird out of the hole. There is some competing information with reference to “a big kid.”  ",R,2,2,M,4,2,Story,Noga the Small Girl,0,a,1
R2.2.1_P,Noga is out walking. What is making the sound Noga hears?,A baby bird ,The information is a simple inference found by relating two pieces of explicit information from across consecutive sentences when there is no competing information.,R,2,2,P,4,2,Story,Noga the Small Girl,0,a,1
R2.3.1_M,What is the main idea of this text? A. Being small can be good B. Big kids don’t like to help C. It’s lucky to help baby birds D. Mothers are sometimes wrong,A. Being small can be good   ,"The main idea that being small can be good is not explicitly stated, it is implied.    ",R,2,3,M,4,2,Story,Noga the Small Girl,0,a,1
R3.1.1_M,What is the purpose of this text? A. To tell a story B. To explain an idea C. To give instructions D. To describe an animal,A. To tell a story    ,"Identify the purpose of the text when it is not explicitly stated by using prominent clues (such as the story-like interaction of characters, development of plot, and conclusion).   ",R,3,1,M,4,2,Story,Noga the Small Girl,0,a,1
R3.2.1_M,Do you think the dwarf lantern shark is able to take care of itself? Yes  No Write information from the text to show why you think this is true. Give a reason for your answer using evidence from the text.,Yes: They can make their own light in a place where it is dark  No: They are too small to protect themselves from bigger animals  ,"There is sufficient evidence in the text to support an opinion that the shark either can, or cannot, take care of itself well.     ",R,3,2,M,4,3,Information,The Dwarf Lantern Shark,0,a,1
R1.2.1_E,Copy two different facts about the dwarf lantern shark.   ,Harmless OR cannot hurt you / small / glow in the dark OR make their own light / live at the bottom of the ocean (Note: Must be two different facts; can’t be two synonymous facts.),"The multiple pieces of information appear across the whole text in both prominent and not prominent places and the competing information is the phrase, ‘sharks are large’.  ",R,1,2,E,4,3,Information,The Dwarf Lantern Shark,0,a,1
R1.2.1_M,How do dwarf lantern sharks make their own light?  ,They glow in the dark   ,The information is found by direct- or close-word matching which is nearby but not adjacent to the matched word and there is limited competing information. The limited competing information is about their size being an influence rather than their environment.,R,1,2,M,4,3,Information,The Dwarf Lantern Shark,0,a,1
R1.3.1_E,What is the size of a dwarf lantern shark?   ,About the same size as your hand / smaller than your hand / it’s not big / not large/ very small ,"The information is found by synonymous word matching where adjectives that indicate size are mentioned (large, small). The limited competing information is about the reader thinking sharks are usually large.",R,1,3,E,4,3,Information,The Dwarf Lantern Shark,0,a,1
R2.1.1_P,“Some sharks are harmless.” What does “harmless” mean? A. Safe B. Light C. Large D. Dangerous,A. Safe     ,The student needs to identify the meaning of the word when there are multiple prominent clues at the beginning of the text (such as ‘cannot hurt you’ and ‘so small you can hold it in one hand’).   ,R,2,1,P,4,3,Information,The Dwarf Lantern Shark,0,a,1
R2.2.1_E,Why does the dwarf lantern shark need to glow in the dark?   ,Because there is no light where they live / they live at the bottom of very deep oceans  ,"The information requires drawing a simple inference from across a paragraph, but not consecutive sentences, (‘...they glow in the dark’ and ‘There is no light where they live.’). The additional difficulty is that the information is unusual, and likely to be highly unfamiliar, rather than the presence of competing information.",R,2,2,E,4,3,Information,The Dwarf Lantern Shark,0,a,1
R2.2.1_P,Which part of the ocean do dwarf lantern sharks live in? ,At the bottom of very deep oceans / or deep part ,The information requires drawing a simple inference across consecutive sentences where the link is a pronoun reference (they) and there is no competing information.,R,2,2,P,4,3,Information,The Dwarf Lantern Shark,0,a,1
R2.3.1_M,What does this text tell you about dwarf lantern sharks? A. What food they eat B. How they have babies C. Why you should be afraid of them D. How they are different from other sharks,D. How they are different from other sharks    ,"The main idea that the dwarf lantern shark is not like other sharks is prominent, but not explicitly stated. The first two paragraphs set up the surprise that this shark is not one to be afraid of and the third paragraph opens with the words “another unusual thing.” The other options are clearly incorrect, making this an “M-item,” as these options are easy to dismiss.",R,2,3,M,4,3,Information,The Dwarf Lantern Shark,0,a,1
R3.1.1_M,What is the purpose of this text? A. To tell a story B. To give information C. To provide a warning D. To give instructions,B. To give information    ,The purpose of the text is not explicitly stated but there are prominent clues in the way that the structure and content support an information- style text.  ,R,3,1,M,4,3,Information,The Dwarf Lantern Shark,0,a,1
R1.1.1_E,Why can’t predators see chameleons? A. Chameleons stay very still B. Chameleons hide behind large rocks C. Chameleons spit poison into the animal’s eyes D. Chameleons match the color of the background,D. Chameleons match the color of the background  ,"The word “camouflage” is a less common grade 4-level word in English. No clues are provided in the text as to its meaning and the correct definition is the item key, with the three distractors being plausible substitutes for the context. ",R,1,1,E,4,4,Information,Animals in Nature,0,a,1
R1.2.1_M,Find one prey animal from the text that can kill a predator.   ,Spiders or Snakes   ,The information is found by direct word matching “kills predators” and is nearby but not adjacent to the matched word (spiders and snakes). There is limited competing information with many other prey and predators mentioned throughout the text.,R,1,2,M,4,4,Information,Animals in Nature,0,a,1
R2.1.1_M,Why are some animals called prey? A. Because they are lucky B. Because they are fast C. Because other animals cannot see them D. Because other animals want to eat them,D. Because other animals want to eat them  ,The meaning of an unknown word such as “prey” can be inferred based on clues in the third and fourth sentences. There is limited competing information about defensive actions that prey take.  ,R,2,1,M,4,4,Information,Animals in Nature,0,a,1
R2.1.1_P,Why are some animals called predators?   ,Eat other animals/prey   ,"The information is prominent, as it appears in the first two sentences and is found by synonymous word matching (“certain animals eat other animals” and “... called predators”). There is no competing information in this prominent area.",R,2,1,P,4,4,Information,Animals in Nature,0,a,1
R2.2.1_P,“This is how nature works.” What does this mean? A. All animals are prey B. All animals are predators C. Sometimes prey escape and sometimes they do not D. Sometimes predators escape and sometimes they do not,C. Sometimes prey escape and sometimes they do not   ,The information is a simple inference that relates pieces of explicit information from across the text when there is more distance or more competing information (understanding the difference between “prey” and “predator”).  ,R,2,2,P,4,4,Information,Animals in Nature,0,a,1
R3.1.1_M,How is most of the information in this text presented? A. As a list B. As a story C. In a table D. As a poem,A. As a list    ,"The purpose of the four sentences all starting with ‘animals like’ is to create a list of examples. In this item, the way the information is presented must be identified, which implies an understanding of the purpose. The distractors are clearly incorrect, making the item “meets.”",R,3,1,M,4,4,Information,Animals in Nature,0,a,1
R1.2.1_M,How wide is a giant coconut crab when measured from its left leg to its right leg?,Nearly one meter wide / one really big step ,The close word matching of “leg” to “legs” is nearby but not adjacent to the information “one meter.” There is limited competing information with the word “small.”,R,1,2,M,5,1,Information,The Giant Coconut Crab,0,a,1
R1.2.1_P,Where does the giant coconut crab live?  ,In Asia   ,"A direct word match can be made with the word “live,” which appears in the prominent position of the first sentence in the text. The information “in Asia” is adjacent to the word match and there is no other competing information.",R,1,2,P,5,1,Information,The Giant Coconut Crab,0,a,1
R1.3.1_M,How does the giant coconut crab find something to eat when it’s dark?  ,By smell / uses its sense of smell   ,The synonymous word matching can be made with “look for food” and “and find something to eat” in the less prominent area of the middle of the text. There is some competing information with the adjacent sentence containing the words “shiny” and “sparkly.”,R,1,3,M,5,1,Information,The Giant Coconut Crab,0,a,1
R1.3.1_P,Write one other name used for the giant coconut crab. ,Robber crab /palm thief  ,The synonymous word matching can be made with “name” and “also called” from the sentence that appears in the prominent position at the end of the text. There is no competing information.,R,1,3,P,5,1,Information,The Giant Coconut Crab,0,a,1
R2.1.1b_M,Why is the giant coconut crab also called a “robber crab”?  ,Because it takes away / steals jewelry/watches  ,A connection needs to be made between the clue given in the middle of the text that describes the crab “taking away” or stealing valuable objects and the figurative expression “robber crab” that appears in the last sentence.,R,2,1,M,5,1,Information,The Giant Coconut Crab,0,b,1
R2.2.1_E,Write two reasons why the crab is called a giant coconut crab.   ,"Refers to its size (e.g., “it is very big”) AND Refers to its interactions with coconuts (e.g., it climbs coconut trees / it eats coconuts)",A connection needs to be made between the description of the very large size of the crab (the content of the first paragraph) and the description of how the crab climbs trees and opens coconuts (the content of the second paragraph). There is some competing information with mistaking the title to mean that the coconuts are of a giant size.,R,2,2,E,5,1,Information,The Giant Coconut Crab,0,a,1
R1.1.1_M,“Some people use it to clean away soot from chimneys.” What is a chimney? A. A type of furniture B. A type of cleaning brush C. A place to burn firewood D. A place for smoke to pass through,D. A place for smoke to pass through       ,"There are no clues provided in the text to indicate the definition of this word, and the distractors are as plausible as the key, so students will need to recognize it from their own knowledge.     ",R,1,1,M,5,2,Information,Salt,0,a,1
R1.2.1_M,Salt makes food taste better. What is another reason why salt is added to food? ,To stop it from spoiling / going bad   ,"The information can be found by close-word matching (“Salt is also used to keep food from spoiling”) in a nearby, but not adjacent location, to the matched word. There is some competing information in the second paragraph (“helps your body use the food you eat”).",R,1,2,M,5,2,Information,Salt,0,a,1
R1.3.1_M,Write one way that salt is good for your body.   ,Refers to any one of the following: makes your muscles move / helps your blood flow/ helps your body use the food you eat / stops you from feeling dizzy and tired,"The explicit information can be found by synonymous word matching (Salt is very important for your body to work) in the middle of the text, which is not a prominent place. There is some competing information with the phrase, “too much salt can also make you sick,” which contradicts the premise of the item. ",R,1,3,M,5,2,Information,Salt,0,a,1
R2.1.1_M,“Salt is also used to keep food from spoiling.” What does “spoiling” mean here? A. Drying B. Melting C. Rotting D. Burning,C. Rotting      ,"In English, the term “spoiling” has a variety of meanings. The specific meaning in this text is explained in the paragraph, “so it will keep to eat later”—that is, to prevent it from rotting. The part of the text that it appears in is not prominent and the meaning of the word “spoiling” is supported by clues in the adjacent sentence (you can add salt to fresh meat or fish to dry it out so it will keep to eat later). ",R,2,1,M,5,2,Information,Salt,0,a,1
R2.3.1_E,What is the main idea in this text? A. Salt has many benefits. B. Salt is dangerous. C. Salt can be used for cleaning. D. Salt makes you strong.,A. Salt has many benefits.     ,To understand the main idea in this text is to synthesize all the explicit information and reach a conclusion. The other options are all present in the text but are secondary ideas.   ,R,2,3,E,5,2,Information,Salt,0,a,1
R3.1.1_M,What is the purpose of this text about salt? A. To advertise it B. To give information C. To provide a warning D. To share cooking tips,B. To give information     ,"Identification of text type requires understanding of the presentation and content of this genre. The text has prominent clues indicating it is an information text, as it focuses on providing a series of facts about salt.   ",R,3,1,M,5,2,Information,Salt,0,a,1
R2.2.1_P,"Chiumbo’s father said, “You are a very lucky boy.” Why is Chiumbo lucky? A. Because he can sleep at work B. Because his father waits for him C. Because the goats were found D. Because he is the best goat minder",C. Because the goats were found     ,"The connection needs to be made between the statement made by the father and the follow-up information in the next sentence about the goats being found. Due to the close location of the explanation, there is no plausible competing information.   ",R,2,2,P,5,3,Story,Chiumbo and the Goats,0,a,1
R2.2.3_M,Number these actions in the order they appear in the story. · An eagle tried to take a baby goat · Chiumbo cannot find the goats · A thief stole the goats · An old man brought the goats back ,· An eagle tried to take a baby goat (2) · Chiumbo cannot find the goats (4) · A thief stole the goats (3) · An old man brought the goats back (1),The sentences describe four events that happen chronologically in the story and need to be ordered into the correct sequence.     ,R,2,2,M,5,3,Story,Chiumbo and the Goats,0,a,3
R2.2.4_E,How does Chiumbo feel about the old man and the birds waking him up? A. Angry B. Grateful C. Confused D. Excited,B. Grateful     ,"The item provides two prominent instances of the character reacting in the same way to being awoken. The text shows his reaction through what he says (“Thank you, old man” and “Thank you, birds”) instead of explicitly stating what he is thinking. The competing information is the unexpected reaction of being thankful or grateful when the other options are more common reactions to being woken up.",R,2,2,E,5,3,Story,Chiumbo and the Goats,0,a,4
R3.2.1_M,Do you think Chiumbo should have been punished for sleeping instead of watching the goats? Yes No Use evidence from the text to support your answer.      ,Answers “yes” and refers to: · The goats being stolen because he wasn’t doing his job  OR Answers “no” and refers to: · He told the truth · He learned from his mistake because now he is the best minder in the village,The text provides evidence to support either argument. A broad understanding of the story is needed to support the argument. Evidence for both sides is prominent in the text.         ,R,3,2,M,5,3,Story,Chiumbo and the Goats,0,a,1
R1.2.2_M,Write one thing listed in the text that is put into the saucepan. ,(Orange) juice / cardamom / honey ,"The information is found by direct word matching with “saucepan,” but it is in the middle of the procedural list and is therefore not prominent. There is some competing information with “orange” and “raisins” also being ingredients listed.",R,1,2,M,5,4,Procedural,Orange and Cardamom Fruit Salad,0,a,2
R1.3.2_M,The ingredients list says 4 oranges but only 3 oranges are peeled and sliced. What is the other orange used for? ,Juicing / squeezing for juice  ,The connection needs to be made through synonymous word matching of “other orange used for” in the question and “put the juice of one orange” in the middle of the procedural list. The information in the text is not prominent. There is some competing information in the instructions relating to the other three oranges.,R,1,3,M,5,4,Procedural,Orange and Cardamom Fruit Salad,0,a,2
R2.1.1b_M,“Pick over the raisins ...” What does “pick over” mean? A. Take out B. Put in C. Check D. Wash,C. Check     ,"A connection needs to be made between the figurative expression “pick over” at the beginning of the sentence and the clue that immediately appears at the end of the sentence, “to remove any stalks.”   ",R,2,1,M,5,4,Procedural,Orange and Cardamom Fruit Salad,0,b,1
R2.2.2_M,Each sentence in the Instructions section starts with a number. What is the meaning of these numbers? A. How many things you need B. The ordering of the tasks C. The ranking of best taste D. The times it takes to cook,B. The ordering of the tasks     ,"This text uses numerals to explain several different concepts (quantifying, showing procedure, and time measurement). The connection needs to be made between the meaning of the numbers in the Instructions section as a way to signify the order of tasks. The main source of competing information is in the Ingredients section where the numbers are used to show quantities.  ",R,2,2,M,5,4,Procedural,Orange and Cardamom Fruit Salad,0,a,2
R2.2.3_M,"What do you need to do just after your put the juice, honey, and cardamom into the saucepan?",Refers to heating the sauce / heating gently for 5 minutes,Identifies the next step that appears in the middle of a procedural text.  ,R,2,2,M,5,4,Procedural,Orange and Cardamom Fruit Salad,0,a,3
R3.1.1_M,What can you learn from this text? A. How to be safe in the kitchen B. How to cool hot food C. How to cut fruit D. How to make a dessert,D. How to make a dessert    ,"The purpose of this text needs to be identified by understanding what the outcome will be of following the instructions. While there are many individual actions stated, this question asks about the overall purpose of the text.  ",R,3,1,M,5,4,Procedural,Orange and Cardamom Fruit Salad,0,a,1
R2.2.5_E,The government’s actions suggest that people’s needs are more important than the Sevan trout. 1. Identify evidence from the text that supports this point of view. AND 2. Identify evidence from the text that challenges this point of view.,"1. Refers to encouraging more fishing or water needed for people more than the trout 2. Refers to banning fishing, so the needs of the trout were put first","For exceeds, evidence is also required to challenge this point of view. While the correct information is also prominent, at the start of the third paragraph, it is more challenging to find evidence to support opposing points of view. The idea that the government is now putting the needs of the trout ahead of people is also implied adjacent to strongly competing information, as the rest of the paragraph is about the importance of the needs of people.",R,2,2,E,6,1,Information,Sevan Trout,0,a,5
